BN,IN,atc
KYTRIL,GRANISÉTRON BASE,A04AA02
L-THYROXIN HENNING,LÉVOTHYROXINE SODIQUE,H03AA01
L-THYROXIN HENNING,LÉVOTHYROXINE SODIQUE ANHYDRE,H03AA01
L-THYROXIN HENNING,THYROXINE SODIQUE ANHYDRE,H03AA01
L-THYROXINE,LÉVOTHYROXINE SODIQUE,H03AA01
LACOSAMIDE,LACOSAMIDE,N03AX18
LACTINETTE,DÉSOGESTREL,G03AC09
LACTULOSE,LACTULOSE,A06AD11
LACTULOSE,LACTULOSE LIQUIDE,A06AD11
LAEVOLAC,LACTULOSE,A06AD11
LAEVOLAC AROME PRUNE,LACTULOSE,A06AD11
LAEVOLAC AROME PRUNE,LACTULOSE LIQUIDE,A06AD11
LAMALINE,CAFÉINE,D11AX26
LAMALINE,CAFÉINE,N06BC01
LAMALINE,PARACÉTAMOL,N02BE01
LAMALINE,POUDRE D'OPIUM,A07DA02
LAMALINE,POUDRE D'OPIUM,N02AA02
LAMALINE,OPIUM (EXTRAIT SEC D'),A07DA02
LAMALINE,OPIUM (EXTRAIT SEC D'),N02AA02
LAMICTAL,LAMOTRIGINE,N03AX09
LAMIDERM,TROLAMINE,D03AX12
LAMISIL,CHLORHYDRATE DE TERBINAFINE,NA
LAMISIL,TERBINAFINE,D01AE15
LAMISIL,TERBINAFINE,D01BA02
LAMISILATE,CHLORHYDRATE DE TERBINAFINE,NA
LAMISILATE,TERBINAFINE,D01AE15
LAMISILATE,TERBINAFINE,D01BA02
LAMISILATE MONODOSE,TERBINAFINE (CHLORHYDRATE DE),NA
LAMISILATE MONODOSE,TERBINAFINE,D01AE15
LAMISILATE MONODOSE,TERBINAFINE,D01BA02
LAMISILDERMGEL,TERBINAFINE,D01AE15
LAMISILDERMGEL,TERBINAFINE,D01BA02
LAMIVUDINE,LAMIVUDINE,J05AF05
LAMIVUDINE/ZIDOVUDINE,ZIDOVUDINE,J05AF01
LAMIVUDINE/ZIDOVUDINE,LAMIVUDINE,J05AF05
LAMOTRIGINE,LAMOTRIGINE,N03AX09
LAMPRENE,CLOFAZIMINE,J04BA01
LANSOPRAZOLE,LANSOPRAZOLE,A02BC03
LANTHANE,LANTHANE,NA
LANTUS,INSULINE GLARGINE,A10AE04
LANTUS SOLOSTAR,INSULINE GLARGINE,A10AE04
LANVIS,THIOGUANINE,L01BB03
LANZOR,LANSOPRAZOLE,A02BC03
LARGACTIL,CHLORPROMAZINE,N05AA01
LARGACTIL,CHLORPROMAZINE (CHLORHYDRATE DE),NA
LARIAM,MÉFLOQUINE,P01BC02
LARMABAK,CHLORURE DE SODIUM,A12CA01
LARMABAK,CHLORURE DE SODIUM,B05CB01
LARMABAK,CHLORURE DE SODIUM,B05XA03
LARMES ARTIFICIELLES MARTINET,CHLORURE DE SODIUM,A12CA01
LARMES ARTIFICIELLES MARTINET,CHLORURE DE SODIUM,B05CB01
LARMES ARTIFICIELLES MARTINET,CHLORURE DE SODIUM,B05XA03
LAROSCORBINE,ACIDE ASCORBIQUE,A11GA01
LAROSCORBINE,ACIDE ASCORBIQUE,G01AD03
LAROSCORBINE,ACIDE ASCORBIQUE,S01XA15
LAROSCORBINE,VITAMINE C,A11GA01
LAROSCORBINE,VITAMINE C,G01AD03
LAROSCORBINE,VITAMINE C,S01XA15
LAROSCORBINE,ASCORBATE DE SODIUM,NA
LAROSCORBINE SANS SUCRE,ACIDE ASCORBIQUE,A11GA01
LAROSCORBINE SANS SUCRE,ACIDE ASCORBIQUE,G01AD03
LAROSCORBINE SANS SUCRE,ACIDE ASCORBIQUE,S01XA15
LAROXYL,AMITRIPTYLINE (CHLORHYDRATE D'),NA
LAROXYL,AMITRIPTYLINE,N06AA09
LAROXYL,CHLORHYDRATE D'AMITRIPTYLINE,NA
LASILIX,FUROSÉMIDE,C03CA01
LASILIX FAIBLE,FUROSÉMIDE,C03CA01
LASILIX RETARD,FUROSÉMIDE,C03CA01
LASILIX SPECIAL,FUROSÉMIDE,C03CA01
LATANOPROST,LATANOPROST,S01EE01
LATANOPROST/TIMOLOL,MALÉATE DE TIMOLOL,NA
LATANOPROST/TIMOLOL,TIMOLOL,NA
LATANOPROST/TIMOLOL,LATANOPROST,S01EE01
LATANOPROST/TIMOLOL,TIMOLOL BASE,NA
LATAZED,LATANOPROST,S01EE01
LAVENTAIR ELLIPTA,UMÉCLIDINIUM,NA
LAVENTAIR ELLIPTA,BROMURE D'UMÉCLIDINIUM,R03BB07
LAVENTAIR ELLIPTA,VILANTÉROL,NA
LAVENTAIR ELLIPTA,TRIFÉNATATE DE VILANTÉROL,NA
LAXARON,LACTULOSE,A06AD11
LECTIL,DICHLORHYDRATE DE BÉTAHISTINE,NA
LEDAGA,CHLORHYDRATE DE CHLORMÉTHINE,NA
LEDAGA,CHLORMÉTHINE,L01AA05
LEDERFOLINE,FOLINATE DE CALCIUM,V03AF03
LEDERTREXATE,MÉTHOTREXATE,L01BA01
LEDERTREXATE,MÉTHOTREXATE,L04AX03
LEELOO,LÉVONORGESTREL,G03AC03
LEELOO,LÉVONORGESTREL,G03AD01
LEELOO,ÉTHINYLESTRADIOL,G03CA01
LEELOO,ÉTHINYLESTRADIOL,L02AA03
LEELOO CONTINU,LÉVONORGESTREL,G03AC03
LEELOO CONTINU,LÉVONORGESTREL,G03AD01
LEELOO CONTINU,ÉTHINYLESTRADIOL,G03CA01
LEELOO CONTINU,ÉTHINYLESTRADIOL,L02AA03
LEFLUNOMIDE,LÉFLUNOMIDE,L04AA13
LEMTRADA,ALEMTUZUMAB,L04AA34
LENALIDOMIDE,LÉNALIDOMIDE,L04AX04
LENALIDOMIDE,CHLORHYDRATE DE LÉNALIDOMIDE HYDRATÉ,NA
LENIA,LACTOBACILLUS CASEI,NA
LENOXE,XÉNON (GAZ),N01AX15
LENVIMA,LENVATINIB,L01EX08
LENVIMA,MÉSILATE DE LENVATINIB,NA
LEPONEX,CLOZAPINE,N05AH02
LEPTAX,LÉVÉTIRACÉTAM,N03AX14
LEPTICUR,TROPATÉPINE (CHLORHYDRATE DE),NA
LEPTOPROL,LEUPRORÉLINE,L02AE02
LEPTOPROL,ACÉTATE DE LEUPRORÉLINE,NA
LERCAN,CHLORHYDRATE DE LERCANIDIPINE,NA
LERCAN,LERCANIDIPINE,C08CA13
LERCANIDIPINE,CHLORHYDRATE DE LERCANIDIPINE,NA
LERCANIDIPINE,LERCANIDIPINE,C08CA13
LERCAPRESS,MALÉATE D'ÉNALAPRIL,NA
LERCAPRESS,CHLORHYDRATE DE LERCANIDIPINE,NA
LERCAPRESS,ÉNALAPRIL,C09AA02
LERCAPRESS,LERCANIDIPINE,C08CA13
LESCOL,FLUVASTATINE,C10AA04
LETROZOLE,LÉTROZOLE,L02BG04
LEUCODININE B,MÉQUINOL,D11AX06
LEUSTATINE,CLADRIBINE,L01BB04
LEUSTATINE,CLADRIBINE,L04AA40
LEVACT,BENDAMUSTINE (CHLORHYDRATE DE),NA
LEVEMIR FLEXPEN,INSULINE DÉTÉMIR,A10AE05
LEVEMIR INNOLET,INSULINE DÉTÉMIR,A10AE05
LEVEMIR PENFILL,INSULINE DÉTÉMIR,A10AE05
LEVETIRACETAM,LÉVÉTIRACÉTAM,N03AX14
LEVIDCEN,LÉVÉTIRACÉTAM,N03AX14
LEVITRA,VARDÉNAFIL,G04BE09
LEVITRA,VARDÉNAFIL (MONOCHLORHYDRATE DE) TRIHYDRATÉ,NA
LEVMENTIN,AMOXICILLINE SODIQUE,NA
LEVMENTIN,AMOXICILLINE,J01CA04
LEVMENTIN,AMOXICILLINE,NA
LEVMENTIN,CLAVULANATE DE POTASSIUM,NA
LEVMENTIN,ACIDE CLAVULANIQUE,NA
LEVMENTIN,ACIDE CLAVULANIQUE,NA
LEVMENTIN,AMOXICILLINE ANHYDRE,J01CA04
LEVMENTIN,AMOXICILLINE ANHYDRE,NA
LEVMENTIN,POTASSIUM (CLAVULANATE DE),NA
LEVOBUPIVACAINE,CHLORHYDRATE DE LÉVOBUPIVACAÏNE,NA
LEVOBUPIVACAINE,LÉVOBUPIVACAÏNE,N01BB10
LEVOCARNIL,LÉVOCARNITINE,A16AA01
LEVOCARNIL,L-CARNITINE,A16AA01
LEVOCETIRIZINE,DICHLORHYDRATE DE LÉVOCÉTIRIZINE,NA
LEVOCETIRIZINE,LÉVOCÉTIRIZINE,R06AE09
LEVODOPA CARBIDOPA,LÉVODOPA,N04BA01
LEVODOPA CARBIDOPA,CARBIDOPA ANHYDRE,NA
LEVODOPA CARBIDOPA,CARBIDOPA MONOHYDRATÉE,NA
LEVODOPA/BENSERAZIDE,LÉVODOPA,N04BA01
LEVODOPA/BENSERAZIDE,BENSÉRAZIDE BASE,NA
LEVODOPA/CARBIDOPA/ENTACAPONE,LÉVODOPA,N04BA01
LEVODOPA/CARBIDOPA/ENTACAPONE,CARBIDOPA ANHYDRE,NA
LEVODOPA/CARBIDOPA/ENTACAPONE,ENTACAPONE,N04BX02
LEVODOPA/CARBIDOPA/ENTACAPONE,CARBIDOPA,NA
LEVODOPA/CARBIDOPA/ENTACAPONE,CARBIDOPA MONOHYDRATÉE,NA
LEVODOPA/CARBIDOPA/ENTACAPONE,CARBIDOPA MONOHYDRATE,NA
LEVOFLOXACINE,LÉVOFLOXACINE HÉMIHYDRATÉE,J01MA12
LEVOFLOXACINE,LÉVOFLOXACINE HÉMIHYDRATÉE,S01AE05
LEVOFLOXACINE,LÉVOFLOXACINE,NA
LEVOFOLINATE DE CALCIUM,LÉVOFOLINATE CALCIQUE PENTAHYDRATÉ,NA
LEVOFOLINATE DE CALCIUM,ACIDE L FOLINIQUE,NA
LEVOFOLINATE DE CALCIUM,ACIDE LÉVOFOLINIQUE,NA
LEVOFOLINATE DE SODIUM,ACIDE LÉVOFOLINIQUE,NA
LEVOFREE,LÉVOCABASTINE,R01AC02
LEVOFREE,LÉVOCABASTINE,S01GX02
LEVOFREE,CHLORHYDRATE DE LÉVOCABASTINE,NA
LEVOFREE,LÉVOCABASTINE BASE,R01AC02
LEVOFREE,LÉVOCABASTINE BASE,S01GX02
LEVONORGESTREL,LÉVONORGESTREL,G03AC03
LEVONORGESTREL,LÉVONORGESTREL,G03AD01
LEVONORGESTREL/ETHINYLESTRADIOL,LÉVONORGESTREL,G03AC03
LEVONORGESTREL/ETHINYLESTRADIOL,LÉVONORGESTREL,G03AD01
LEVONORGESTREL/ETHINYLESTRADIOL,ÉTHINYLESTRADIOL,G03CA01
LEVONORGESTREL/ETHINYLESTRADIOL,ÉTHINYLESTRADIOL,L02AA03
LEVONORGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU,LÉVONORGESTREL,G03AC03
LEVONORGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU,LÉVONORGESTREL,G03AD01
LEVONORGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU,ÉTHINYLESTRADIOL,G03CA01
LEVONORGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU,ÉTHINYLESTRADIOL,L02AA03
LEVOPHTA,LÉVOCABASTINE BASE,R01AC02
LEVOPHTA,LÉVOCABASTINE BASE,S01GX02
LEVOPHTA,CHLORHYDRATE DE LÉVOCABASTINE,NA
LEVOSIMENDAN,LÉVOSIMENDAN,C01CX08
LEVOSOLO,LÉVONORGESTREL,G03AC03
LEVOSOLO,LÉVONORGESTREL,G03AD01
LEVOTHYROX,LÉVOTHYROXINE SODIQUE,H03AA01
LEVOTONINE,OXITRIPTAN,N06AX01
LEVULOSE BIOSEDRA,FRUCTOSE,V06DC02
LEVUNIQUE,LÉVONORGESTREL,G03AC03
LEVUNIQUE,LÉVONORGESTREL,G03AD01
LEXOMIL,BROMAZÉPAM,N05BA08
LIBRAX,CHLORDIAZÉPOXIDE,N05BA02
LIBTAYO,CÉMIPLIMAB,L01FF06
LIDOCAINE,LIDOCAÏNE (CHLORHYDRATE DE) MONOHYDRATÉ,NA
LIDOCAINE,CHLORHYDRATE DE LIDOCAÏNE ANHYDRE,NA
LIDOCAINE,LIDOCAÏNE,C01BB01
LIDOCAINE,LIDOCAÏNE,C05AD01
LIDOCAINE,LIDOCAÏNE,D04AB01
LIDOCAINE,LIDOCAÏNE,N01BB02
LIDOCAINE,LIDOCAÏNE,R02AD02
LIDOCAINE,LIDOCAÏNE,S01HA07
LIDOCAINE,LIDOCAÏNE,S02DA01
LIDOCAINE,CHLORHYDRATE DE LIDOCAÏNE,NA
LIDOCAINE CHLORHYDRATE,LIDOCAÏNE (CHLORHYDRATE DE) MONOHYDRATÉ,NA
LIDOCAINE CHLORHYDRATE,CHLORHYDRATE DE LIDOCAÏNE ANHYDRE,NA
LIDOCAINE/PRILOCAINE,LIDOCAÏNE,C01BB01
LIDOCAINE/PRILOCAINE,LIDOCAÏNE,C05AD01
LIDOCAINE/PRILOCAINE,LIDOCAÏNE,D04AB01
LIDOCAINE/PRILOCAINE,LIDOCAÏNE,N01BB02
LIDOCAINE/PRILOCAINE,LIDOCAÏNE,R02AD02
LIDOCAINE/PRILOCAINE,LIDOCAÏNE,S01HA07
LIDOCAINE/PRILOCAINE,LIDOCAÏNE,S02DA01
LIDOCAINE/PRILOCAINE,PRILOCAÏNE,N01BB04
LIDOCAÏNE,ADRÉNALINE,A01AD01
LIDOCAÏNE,ADRÉNALINE,B02BC09
LIDOCAÏNE,ADRÉNALINE,C01CA24
LIDOCAÏNE,ADRÉNALINE,R01AA14
LIDOCAÏNE,ADRÉNALINE,R03AA01
LIDOCAÏNE,ADRÉNALINE,S01EA01
LIDOCAÏNE,TARTRATE D'ADRÉNALINE,NA
LIDOCAÏNE,LIDOCAÏNE (CHLORHYDRATE DE) MONOHYDRATÉ,NA
LIDOCAÏNE,CHLORHYDRATE DE LIDOCAÏNE ANHYDRE,NA
LIDOCAÏNE,CHLORHYDRATE DE LIDOCAÏNE,NA
LIDOCAÏNE GRÜNENTHAL,LIDOCAÏNE,C01BB01
LIDOCAÏNE GRÜNENTHAL,LIDOCAÏNE,C05AD01
LIDOCAÏNE GRÜNENTHAL,LIDOCAÏNE,D04AB01
LIDOCAÏNE GRÜNENTHAL,LIDOCAÏNE,N01BB02
LIDOCAÏNE GRÜNENTHAL,LIDOCAÏNE,R02AD02
LIDOCAÏNE GRÜNENTHAL,LIDOCAÏNE,S01HA07
LIDOCAÏNE GRÜNENTHAL,LIDOCAÏNE,S02DA01
LIDOCAÏNE,LIDOCAÏNE,C01BB01
LIDOCAÏNE,LIDOCAÏNE,C05AD01
LIDOCAÏNE,LIDOCAÏNE,D04AB01
LIDOCAÏNE,LIDOCAÏNE,N01BB02
LIDOCAÏNE,LIDOCAÏNE,R02AD02
LIDOCAÏNE,LIDOCAÏNE,S01HA07
LIDOCAÏNE,LIDOCAÏNE,S02DA01
LIDOCAÏNE/PRILOCAÏNE,LIDOCAÏNE,C01BB01
LIDOCAÏNE/PRILOCAÏNE,LIDOCAÏNE,C05AD01
LIDOCAÏNE/PRILOCAÏNE,LIDOCAÏNE,D04AB01
LIDOCAÏNE/PRILOCAÏNE,LIDOCAÏNE,N01BB02
LIDOCAÏNE/PRILOCAÏNE,LIDOCAÏNE,R02AD02
LIDOCAÏNE/PRILOCAÏNE,LIDOCAÏNE,S01HA07
LIDOCAÏNE/PRILOCAÏNE,LIDOCAÏNE,S02DA01
LIDOCAÏNE/PRILOCAÏNE,PRILOCAÏNE,N01BB04
LIDOCA,LIDOCAÏNE,C01BB01
LIDOCA,LIDOCAÏNE,C05AD01
LIDOCA,LIDOCAÏNE,D04AB01
LIDOCA,LIDOCAÏNE,N01BB02
LIDOCA,LIDOCAÏNE,R02AD02
LIDOCA,LIDOCAÏNE,S01HA07
LIDOCA,LIDOCAÏNE,S02DA01
LIDOCA,PRILOCAÏNE,N01BB04
LIKOZAM,CLOBAZAM,N05BA09
LINDILANE,CODÉINE,R05DA04
LINDILANE,CODÉINE,NA
LINDILANE,CODÉINE,NA
LINDILANE,PARACÉTAMOL,N02BE01
LINDILANE,PHOSPHATE DE CODÉINE HÉMIHYDRATÉ,NA
LINEZOLIDE,LINÉZOLIDE,J01XX08
LIORESAL,BACLOFÈNE,M03BX01
LIPANOR,CIPROFIBRATE,C10AB08
LIPANTHYL,FÉNOFIBRATE,C10AB05
LIPANTHYL,FÉNOFIBRATE,NA
LIPERCOSYL,ATORVASTATINE,C10AA05
LIPERCOSYL,PÉRINDOPRIL,C09AA04
LIPERCOSYL,PÉRINDOPRIL ARGININE,NA
LIPERCOSYL,ATORVASTATINE CALCIQUE TRIHYDRATÉE,NA
LIPOFEINE,CAFÉINE,D11AX26
LIPOFEINE,CAFÉINE,N06BC01
LIPOROSA,ROSUVASTATINE,C10AA07
LIPOROSA,ÉZÉTIMIBE,C10AX09
LIPPIZA,PITAVASTATINE CALCIQUE,NA
LIPPIZA,PITAVASTATINE,C10AA08
LIPTRUZET,ATORVASTATINE,C10AA05
LIPTRUZET,ÉZÉTIMIBE,C10AX09
LIPTRUZET,ATORVASTATINE CALCIQUE TRIHYDRATÉE,NA
LIPUR,GEMFIBROZIL,C10AB04
LISINOPRIL,LISINOPRIL,NA
LISINOPRIL,LISINOPRIL DIHYDRATÉ,C09AA03
LISINOPRIL,LISINOPRIL ANHYDRE,NA
LISINOPRIL/HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,C03AA03
LISINOPRIL/HYDROCHLOROTHIAZIDE,LISINOPRIL ANHYDRE,NA
LISINOPRIL/HYDROCHLOROTHIAZIDE,LISINOPRIL DIHYDRATÉ,C09AA03
LITAK,CLADRIBINE,L01BB04
LITAK,CLADRIBINE,L04AA40
LITHIODERM,LITHIUM,N05AN01
LITHIUM OLIGOSOL,LITHIUM,N05AN01
LIVIAL,TIBOLONE,G03CX01
LIVOGIVA,TÉRIPARATIDE,H05AA02
LOBAMINE CYSTEINE,DL-MÉTHIONINE,NA
LOCALONE,SALICYLIQUE (ACIDE),D01AE12
LOCALONE,SALICYLIQUE (ACIDE),S01BC08
LOCALONE,TRIAMCINOLONE (ACÉTONIDE DE),NA
LOCAPRED,DÉSONIDE,D07AB08
LOCAPRED,DÉSONIDE,S01BA11
LOCATOP,DÉSONIDE,D07AB08
LOCATOP,DÉSONIDE,S01BA11
LOCERYL,AMOROLFINE BASE,D01AE16
LOCERYL,CHLORHYDRATE D'AMOROLFINE,NA
LOCERYLPRO,AMOROLFINE BASE,D01AE16
LOCERYLPRO,CHLORHYDRATE D'AMOROLFINE,NA
LODINE,ÉTODOLAC,M01AB08
LODINE,ÉTODOLIQUE ACIDE,M01AB08
LODOZ,HYDROCHLOROTHIAZIDE,C03AA03
LOGIFLOX,CHLORHYDRATE DE LOMÉFLOXACINE,NA
LOGIFLOX,LOMÉFLOXACINE BASE,J01MA07
LOGIFLOX,LOMÉFLOXACINE BASE,S01AE04
LOGIMAX,SUCCINATE DE MÉTOPROLOL,NA
LOGIMAX,FÉLODIPINE,C08CA02
LOGIRENE,FUROSÉMIDE,C03CA01
LOGIRENE,AMILORIDE (CHLORHYDRATE D') HYDRATÉ,NA
LOGIRENE,AMILORIDE (CHLORHYDRATE D') ANHYDRE,NA
LOJUXTA,LOMITAPIDE,C10AX12
LOJUXTA,MÉSILATE DE LOMITAPIDE,NA
LOLISTREL,LÉVONORGESTREL,G03AC03
LOLISTREL,LÉVONORGESTREL,G03AD01
LOLISTREL,ÉTHINYLESTRADIOL,G03CA01
LOLISTREL,ÉTHINYLESTRADIOL,L02AA03
LOLISTREL CONTINU,LÉVONORGESTREL,G03AC03
LOLISTREL CONTINU,LÉVONORGESTREL,G03AD01
LOLISTREL CONTINU,ÉTHINYLESTRADIOL,G03CA01
LOLISTREL CONTINU,ÉTHINYLESTRADIOL,L02AA03
LOMEXIN,NITRATE DE FENTICONAZOLE,NA
LOMEXIN,FENTICONAZOLE BASE,D01AC12
LOMEXIN,FENTICONAZOLE BASE,G01AF12
LOMUDAL,CROMOGLICATE DE SODIUM,NA
LOMUSOL,CROMOGLICATE DE SODIUM,NA
LONOTEN,MINOXIDIL,C02DC01
LONOTEN,MINOXIDIL,D11AX01
LONQUEX,LIPEGFILGRASTIM,L03AA14
LONSURF,TRIFLURIDINE,S01AD02
LONSURF,TIPIRACIL,NA
LONSURF,CHLORHYDRATE DE TIPIRACIL,NA
LOPERAMIDE,CHLORHYDRATE DE LOPÉRAMIDE,NA
LOPERAMIDE,LOPÉRAMIDE BASE,A07DA03
LOPERAMIDE,LOPÉRAMIDE,A07DA03
LOPERAMIDE LYOC,CHLORHYDRATE DE LOPÉRAMIDE,NA
LOPINAVIR/RITONAVIR,LOPINAVIR,NA
LOPINAVIR/RITONAVIR,RITONAVIR,J05AE03
LOPRESSOR,MÉTOPROLOL (TARTRATE DE),NA
LORAMYC,MICONAZOLE,A01AB09
LORAMYC,MICONAZOLE,A07AC01
LORAMYC,MICONAZOLE,D01AC02
LORAMYC,MICONAZOLE,G01AF04
LORAMYC,MICONAZOLE,J02AB01
LORAMYC,MICONAZOLE,S02AA13
LORATADINE,LORATADINE,R06AX13
LORAZEPAM,LORAZÉPAM,N05BA06
LORMETAZEPAM,LORMÉTAZÉPAM,N05CD06
LORVIQUA,LORLATINIB,L01ED05
LOSARTAN,LOSARTAN POTASSIQUE,NA
LOSARTAN,LOSARTAN,C09CA01
LOSARTAN HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,C03AA03
LOSARTAN HYDROCHLOROTHIAZIDE,LOSARTAN POTASSIQUE,NA
LOSARTAN/HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZIDE,C03AA03
LOSARTAN/HYDROCHLOROTHIAZIDE,LOSARTAN POTASSIQUE,NA
LOSARTAN/HYDROCHLOROTHIAZIDE,LOSARTAN,C09CA01
LOVAVULO,LÉVONORGESTREL,G03AC03
LOVAVULO,LÉVONORGESTREL,G03AD01
LOVAVULO,ÉTHINYLESTRADIOL,G03CA01
LOVAVULO,ÉTHINYLESTRADIOL,L02AA03
LOVENOX,ÉNOXAPARINE SODIQUE,NA
LOXAPAC,SUCCINATE DE LOXAPINE,NA
LOXAPAC,LOXAPINE BASE,N05AH01
LOXAPAC,LOXAPINE,N05AH01
LOXEN,NICARDIPINE (CHLORHYDRATE DE),NA
LUCENTIS,RANIBIZUMAB,S01LA04
LUDEAL,LÉVONORGESTREL,G03AC03
LUDEAL,LÉVONORGESTREL,G03AD01
LUDEAL,ÉTHINYLESTRADIOL,G03CA01
LUDEAL,ÉTHINYLESTRADIOL,L02AA03
LUDIOMIL,CHLORHYDRATE DE MAPROTILINE,NA
LUDIOMIL,MAPROTILINE (CHLORHYDRATE DE),NA
LUMBALGINE,LÉVOMENTHOL,NA
LUMBALGINE,LÉVOMENTHOL,NA
LUMBALGINE,NICOTINATE DE BENZYLE,NA
LUMBALGINE,SALICYLATE DE GLYCOL,NA
LUMIGAN,BIMATOPROST,S01EE03
LUMIRELAX,MÉTHOCARBAMOL,M03BA03
LUTENYL,ACÉTATE DE NOMÉGESTROL,NA
LUTENYL,NOMÉGESTROL (ACÉTATE DE),NA
LUTERAN,CHLORMADINONE (ACÉTATE DE),NA
LUTERAN,ACÉTATE DE CHLORMADINONE,NA
LUVERIS,LUTROPINE ALFA,G03GA07
LUXTURNA,VORETIGÈNE NÉPARVOVEC,S01XA27
LYMECYCLINE,TÉTRACYCLINE,A01AB13
LYMECYCLINE,TÉTRACYCLINE,D06AA04
LYMECYCLINE,TÉTRACYCLINE,J01AA07
LYMECYCLINE,TÉTRACYCLINE,S01AA09
LYMECYCLINE,TÉTRACYCLINE,S02AA08
LYMECYCLINE,TÉTRACYCLINE,S03AA02
LYMECYCLINE,LYMÉCYCLINE,J01AA04
LYNPARZA,OLAPARIB,L01XK01
LYRICA,PRÉGABALINE,N02BF02
LYSAKARE,LYSINE,B05XB03
LYSAKARE,ARGININE,NA
LYSAKARE,CHLORHYDRATE D'ARGININE,B05XB01
LYSAKARE,CHLORHYDRATE DE LYSINE,NA
LYSANXIA,PRAZÉPAM,N05BA11
LYSO,CHLORHYDRATE DE PYRIDOXINE,NA
LYSODREN,MITOTANE,L01XX23
LYSOPAÏNE MAUX DE GORGE AMBROXOL CASSIS,CHLORHYDRATE D'AMBROXOL,NA
LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON,CHLORHYDRATE D'AMBROXOL,NA
LYSOPAÏNE MAUX DE GORGE AMBROXOL MENTHE,CHLORHYDRATE D'AMBROXOL,NA
LYSOPAÏNE MAUX DE GORGE CETYLPYRIDINIUM LYSOZYME FRAISE SANS SUCRE,CHLORURE DE CÉTYLPYRIDINIUM,NA
LYSOPAÏNE MAUX DE GORGE CETYLPYRIDINIUM LYSOZYME MIEL CITRON SANS SUCRE,CHLORURE DE CÉTYLPYRIDINIUM,NA
LYSOPAÏNE MAUX DE GORGE CETYLPYRIDINIUM LYSOZYME SANS SUCRE,CHLORURE DE CÉTYLPYRIDINIUM,NA
LYSORYNX,CHLORURE DE CÉTYLPYRIDINIUM,NA
LYTOS,CLODRONATE DE SODIUM TÉTRAHYDRATÉ,NA
LYUMJEV,INSULINE LISPRO,A10AB04
LYUMJEV,INSULINE LISPRO,A10AC04
LYUMJEV,INSULINE LISPRO,A10AD04
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM,HYDROXYDE D'ALUMINIUM,A02AB01
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM,HYDROXYDE D'ALUMINIUM,NA
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM,HYDROXYDE DE MAGNÉSIUM,A02AA04
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM,HYDROXYDE DE MAGNÉSIUM,G04BX01
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM,OXYDE D'ALUMINIUM,D10AX04
MAALOX REFLUX ALGINATE DE SODIUM/BICARBONATE DE SODIUM MENTHE,BICARBONATE DE SODIUM,B05CB04
MAALOX REFLUX ALGINATE DE SODIUM/BICARBONATE DE SODIUM MENTHE,BICARBONATE DE SODIUM,B05XA02
MAALOX REFLUX ALGINATE DE SODIUM/BICARBONATE DE SODIUM MENTHE,ALGINATE DE SODIUM,NA
MABTHERA,RITUXIMAB,L01FA01
MACROGOL,MACROGOL 3350,A06AD15
MACROGOL,MACROGOL 4000,A06AD15
MAG,MAGNÉSIUM,NA
MAG,MAGNÉSIUM (PIDOLATE DE),A12CC08
MAGINJECTABLE,MAGNÉSIUM (PIDOLATE DE),A12CC08
MAGNE B6,CHLORHYDRATE DE PYRIDOXINE,NA
MAGNESIE SAN PELLEGRINO ANISEE,HYDROXYDE DE MAGNÉSIUM,A02AA04
MAGNESIE SAN PELLEGRINO ANISEE,HYDROXYDE DE MAGNÉSIUM,G04BX01
MAGNESIE SAN PELLEGRINO SANS ANIS,HYDROXYDE DE MAGNÉSIUM,A02AA04
MAGNESIE SAN PELLEGRINO SANS ANIS,HYDROXYDE DE MAGNÉSIUM,G04BX01
MAGNESIUM,MAGNÉSIUM,NA
MAGNESIUM CHLORURE,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,A12CC01
MAGNESIUM CHLORURE,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,B05XA11
MAGNESIUM CHLORURE,CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,NA
MAGNESIUM GLYCOCOLLE LAFARGE,GLYCINE,B05CX03
MAGNESIUM GLYCOCOLLE LAFARGE,MAGNÉSIUM,NA
MAGNESIUM OLIGOSOL,MAGNÉSIUM,NA
